Category,Retailer,Group/Owner,Specialty/Note,Footprint,Website
Fishing,The KingFisher,Independent,Largest fishing tackle wholesaler/retailer Southern Africa,Durban + PMB,kingfisher.co.za
Fishing,Tackle Cabin SA,Independent,Premium freshwater + shore-saltwater,National,tacklecabin.co.za
Fishing,Solomons Tackle,Independent,Full-range rods/reels/bait,National,solomonstackle.co.za
Fishing,Basil Manning Fishing,Independent,Online tackle thousands of brands,Online,basilmanning.co.za
Fishing,Fish On Tackle Store,Independent,Online tackle,Online,fishontacklestore.co.za
Golf,The Pro Shop,MoreCorp group,SA's largest golf retailer - 9 superstores,National incl. Sun City,theproshop.co.za
Golf,The Golfers Club,Independent (major chain),Golf equipment + apparel - Canal Walk flagship,National,golfersclub.co.za
Golf,TaylorMade SA stockist network,Brand-led,Authorised stockist network,National,taylormadegolf.co.za
Golf,On-course pro shops,Independent (various),Every major club,National,(various)
Racquet Sports,Tony Jackson Sports,Independent (30+ yrs),Tennis/squash/padel/racketball,Durban,tonyjacksonsports.co.za
Racquet Sports,Racketlon Sports,Independent,Tennis/squash/padel/badminton/pickleball/TT/netball,National,racketlon.co.za
Racquet Sports,PadelZone,Independent,SA's official padel-only store,National,padelzone.co.za
Racquet Sports,Baseline Racquets,Independent,Stringing + racquet specialist,National,baselineracquets.co.za
Racquet Sports,Wilson Sports SA,Brand house,Wilson racquet sports,National,wilsonsports.co.za
Racquet Sports,Province Sports,Independent,Hockey/squash/cricket/tennis/rugby shoes,Cape Town,provincesports.co.za
Racquet Sports,Great Racket Shop,Independent,Tennis/squash/padel,National,greatracketshop.co.za
Martial Arts/Combat,Shen Sports,Independent,SA's leading martial arts supplier,National,shensports.co.za
Martial Arts/Combat,Bushido Africa,Independent,Boxing/MMA/fitness gear,National,bushidoafrica.co.za
Martial Arts/Combat,GripSport,Independent,Wholesale boxing/MMA,National,gripsport.co.za
Martial Arts/Combat,Fairtex South Africa,Brand house,Muay Thai/kickboxing,National,fairtex.co.za
Martial Arts/Combat,TITLE Boxing South Africa,Independent,Boxing/MMA rings,National,boxing.co.za
Martial Arts/Combat,Damascus Sport,Independent,Boxing/MMA/karate protective gear,National,damascussport.com
Hunting/Shooting,Safari Outdoor,Independent (largest chain),Hunting optics reloading,5+ branches,safarioutdoor.co.za
Hunting/Shooting,Habitat Africa Outdoors,Independent (since 2015),Firearms optics reloading,National,habitatafrica.co.za
Hunting/Shooting,Wildman Hunting & Outdoor,Independent,Firearms + outdoor,National,wildmanhuntingandoutdoor.com
Hunting/Shooting,Outfitters 4 Africa,Independent,Firearms + ammo wholesaler,National,outfitters4africa.co.za
Hunting/Shooting,SA Hunters Shop,Member association,SA Jagters store,National,sahunters.co.za
Equestrian,Western Shoppe,Independent (since 1975),Saddlery,Pretoria + Stellenbosch + Bloemfontein,westernshoppe.com
Equestrian,Tack and Tuck,Independent,Full-range saddlery + farrier/vet,National,tackandtuck.co.za
Equestrian,Tack Shack,Independent,Equestrian supplies,National,tackshack.co.za
Equestrian,Tackshop.co.za,Independent,SA's original online equestrian store,Online,tackshop.co.za
Equestrian,Riders Saddlery,Independent (est 1986),Online,Kyalami,riderssaddlery.co.za
Equestrian,Equibox,Independent,Premier online equestrian,Online,equibox.co.za
Equestrian,Tack 'n Togs at Midfeeds,Independent,Pet + tack,National,tackntogs.co.za
Equestrian,Unicorn Tack & Saddlery,Independent,Tack + saddlery,Assagay KZN,unicorntack.co.za
Equestrian,Equestrian Affair,Independent,Online tack shop,Online,equestrianaffair.co.za
School/Team/Institutional,XCO Sport,Independent,Official supplier to SA federations + government,National,xco.co.za
School/Team/Institutional,Gimtrac,Independent,Soccer/athletics/netball/hockey/gymnastics,National,gimtrac.co.za
School/Team/Institutional,Net World Sports SA,Independent (global brand SA),PE + school equipment,National,networldsports.co.za
School/Team/Institutional,Everest Sports,Independent,Schools + corporate sportswear,SA + neighbouring,everestsports.co.za
School/Team/Institutional,Tenth Mega Sports Store,Independent,School kits + branded balls + trophies,National,tenthsports.co.za
School/Team/Institutional,Fizique Sport (School Sports),Independent (manufacturer),Schools: Michaelhouse Maragon Monument Hoer,National,fizique.co.za
Mass Merchant/Department,Makro,Massmart (Walmart),Wholesale + retail,National,makro.co.za
Mass Merchant/Department,Game,Massmart (Walmart),General merchandise + Trojan exclusive,National,game.co.za
Mass Merchant/Department,Builders Warehouse,Massmart,Limited home-fitness range,National,builders.co.za
Mass Merchant/Department,Pick n Pay Hyper,Pick n Pay Group,Limited fitness aisle,National,pnp.co.za
Mass Merchant/Department,Checkers Hyper,Shoprite Group,Limited fitness aisle,National,checkers.co.za
Wellness/Pharmacy,Dis-Chem Living Fit,Dis-Chem Pharmacies,Sports nutrition + fitness division,National,dischemlivingfit.co.za
Wellness/Pharmacy,Dis-Chem Pharmacies,Dis-Chem Group,National pharmacy chain,National,dischem.co.za
Wellness/Pharmacy,Clicks Group,Clicks Group,National pharmacy chain - selective fitness,National,clicks.co.za
Wellness/Pharmacy,Wellness Warehouse,Independent,Health retailer,National,wellnesswarehouse.com
Wellness/Pharmacy,Faithful to Nature,Independent (B-Corp),Growing fitness/sports section,Online + retail,faithful-to-nature.co.za
Online Marketplace,Takealot,Takealot Group (Naspers),SA's largest online retailer,Online,takealot.com
Online Marketplace,Bash,TFG umbrella e-commerce,Includes Sportscene + Totalsports,Online,bash.com
Online Marketplace,Superbalist,Takealot Group,Sports + sportswear,Online,superbalist.com
Online Marketplace,Loot.co.za,Loot Online,Sports equipment + general,Online,loot.co.za
Online Marketplace,Bidorbuy / Bob Shop,Online auction,Auction + fixed-price,Online,bidorbuy.co.za
Online Marketplace,PriceCheck,Price comparison,Aggregator,Online,pricecheck.co.za
Online Marketplace,Yuppiechef,Yuppiechef,Primarily kitchen - small wellness/fitness range,Online,yuppiechef.com
Yoga/Pilates Specialist,NOVAWOOLF,Independent,Designer yoga mats,Cape Town,novawoolf.com
Yoga/Pilates Specialist,Brandmat,Independent,Pilates/gymnastics floor mats,National,brandmat.co.za
Yoga/Pilates Specialist,Progym Solutions,Independent,Pilates/yoga + functional,Online,progymsolutions.co.za
Yoga/Pilates Specialist,Sports Dynamix Yoga/Pilates,Independent,Yoga/pilates online,Online,sportsdynamix.co.za
Manufacturer/Brand House,Trojan (Massmart),Massmart,Private brand exclusive to Game + Makro,National,trojanhealth.co.za
Manufacturer/Brand House,Matrix Fitness SA (JHT),Johnson Health Tech,OEM subsidiary,Johannesburg,matrixfitness.co.za
Manufacturer/Brand House,Technogym SA,Technogym Italy,Premium global brand,National,technogym.com/en-ZA
Manufacturer/Brand House,TaylorMade SA stockists,TaylorMade,Brand-led network,National,taylormadegolf.co.za
Manufacturer/Brand House,Wilson Sports SA,Wilson,Racquet brand house,National,wilsonsports.co.za
Manufacturer/Brand House,SNT Sports,Independent,Licensed distributor adidas/Reebok/Pele/Easton/Louisville,Online + wholesale,sntsports.co.za
Manufacturer/Brand House,Performance Brands,Holdsport,Owns First Ascent / Cape Storm / OTG - supplies SW/OW,National,(via Holdsport)
Gym Chain/Studio,Virgin Active South Africa,Brait Investment,Largest premium gym chain,National,virginactive.co.za
Gym Chain/Studio,Planet Fitness Group (PFG),Independent,Includes Just Gym franchise,National,planetfitness.co.za
Gym Chain/Studio,SWEAT1000 Studios,Franchise,HIIT format,National,sweat1000.com
Gym Chain/Studio,F45 Training SA,Franchise,Functional HIIT franchise,National,f45training.co.za
Gym Chain/Studio,CrossFit affiliate boxes,Independent network,~50+ SA boxes,National,(CrossFit affiliate map)
Gym Chain/Studio,Zenzele Fitness,Independent,Corporate / mining gym group,National,zenzelefitness.co.za
